repo	total_duration_sec	run_count	avg_sec
AndrewDongminYoo/mirae	3326	20	166
AndrewDongminYoo/github-stats-transparent	198863	20	9943
AndrewDongminYoo/wakatime-svg	331	20	16
AndrewDongminYoo/ethora	884	20	44
AndrewDongminYoo/flutter_calculator_app	1588	20	79
AndrewDongminYoo/Jarvis	63	1	63
AndrewDongminYoo/rn-typed-assets-doc	157	2	78
AndrewDongminYoo/clarity_flutter	1426	20	71
AndrewDongminYoo/receipt-scraper	383	8	47
AndrewDongminYoo/openapi-generator	6296	20	314
AndrewDongminYoo/portfolio	1808	20	90
AndrewDongminYoo/merry	802	2	401
AndrewDongminYoo/vscode-merry	1681	13	129
AndrewDongminYoo/homebrew-tap	547	6	91
AndrewDongminYoo/face_photo_classification	803	20	40
AndrewDongminYoo/user-scripts	940	20	47
AndrewDongminYoo/spotube	1517	20	75
AndrewDongminYoo/claude-code-source-snapshot	1163	20	58
AndrewDongminYoo/derry	914	2	457
AndrewDongminYoo/discord-wanted	240	4	60
AndrewDongminYoo/v0-party-os	1189	20	59
AndrewDongminYoo/react-native-step-counter	188364	20	9418
AndrewDongminYoo/flutter_markdown	1491	20	74
AndrewDongminYoo/refena	339	1	339
AndrewDongminYoo/event_booking	3615	20	180
AndrewDongminYoo/bloc_lint	221	2	110
AndrewDongminYoo/app_base	146	2	73
AndrewDongminYoo/wake_n_share	146	2	73
AndrewDongminYoo/cash_stepper	180	2	90
AndrewDongminYoo/supabase-flutter	2785	10	278
AndrewDongminYoo/dart-pre-commit-hooks	375	3	125
AndrewDongminYoo/cami_lab	1283	20	64
AndrewDongminYoo/apparence-kit	125	2	62
AndrewDongminYoo/flutter_packages	94	1	94
AndrewDongminYoo/starter_architecture_flutter_firebase	255	2	127
AndrewDongminYoo/tistory_skin	188	1	188
AndrewDongminYoo/sign_in_with_apple	252	1	252
AndrewDongminYoo/cami_lab_flavor	204	1	204
AndrewDongminYoo/flutter_secure_storage	1479	5	295
AndrewDongminYoo/appstore-status-bot	1010	18	56
AndrewDongminYoo/keep-a-changelog	888	4	222
AndrewDongminYoo/flutter	195	20	9
AndrewDongminYoo/dartdoc	915	1	915
AndrewDongminYoo/syncfusion_flutter_sliders	2088	20	104
AndrewDongminYoo/plaything_api	196	20	9
AndrewDongminYoo/cody	2481	6	413
AndrewDongminYoo/plaything	992	20	49
AndrewDongminYoo/ssummary	1486	20	74
AndrewDongminYoo/BPlusTree3	353	3	117
AndrewDongminYoo/cami-next	1160	20	58
AndrewDongminYoo/serena	165	2	82
AndrewDongminYoo/portone_flutter	1520	20	76
AndrewDongminYoo/cami-flutter	1089	20	54
AndrewDongminYoo/plugins	182	3	60
AndrewDongminYoo/custom_linters	381058913	20	19052945
AndrewDongminYoo/eslint-plugin-perfectionist	105	1	105
AndrewDongminYoo/credit_card_type_detector_korean	1470	20	73
AndrewDongminYoo/ble_proximity_signal	2334	20	116
AndrewDongminYoo/mirae-landing	1272	20	63
AndrewDongminYoo/react-native-camera	1102	20	55
AndrewDongminYoo/localizations	514	9	57
AndrewDongminYoo/walking-tracker	911	20	45
AndrewDongminYoo/react-native-ble-manager-demo	891	20	44
AndrewDongminYoo/react-native-ble-manager	957	20	47
AndrewDongminYoo/copy-code-as-snippet	630	13	48
AndrewDongminYoo/apps-scripts	1139	20	56
AndrewDongminYoo/andrewdongminyoo	816	20	40
AndrewDongminYoo/discord_bot	793	17	46
AndrewDongminYoo/Miraemake	65	1	65
AndrewDongminYoo/purrfect	1106	20	55
AndrewDongminYoo/custom-token-generator	532	12	44
AndrewDongminYoo/ssummary-landing	872	15	58
AndrewDongminYoo/ssummary-mobile	822	14	58
AndrewDongminYoo/cami-landing-page-main	596	10	59
AndrewDongminYoo/pleisure-client-app	1200	20	60
AndrewDongminYoo/ts-instagram-clone-nomad-coder	1036	20	51
AndrewDongminYoo/turbo-console-log	599	12	49
AndrewDongminYoo/mobile-index-ranking-reporter	385	8	48
AndrewDongminYoo/github-calendars-compare	269	5	53
